item_qid,label_zh,label_kk,label_en,description_zh,description_kk,description_en
P31,隶属于,бірі болып табылады,instance of,此主体是其中特定示例及成员的类别；与上级分类（P279）不同；例如：富士山隶属于山，火山上级分类是山（且隶属于火山地貌）,"бұл нысан қандай да бір санаттың, класстың немесе нысандар тобының бөлігі болып табылады",that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)
P2633,主题地理,,geography of topic,牽涉到該主題之地理的項目。例如：「里約熱內盧」採用的屬性「里約熱內盧地理（Q10288853）」。對於某主題的所在地，請用「位置」 (P276),,"item that deals with the geography of the subject. Sample: ""Rio de Janeiro"" uses this property with value ""geography of Rio de Janeiro"" (Q10288853). For the location of a subject, use ""location"" (P276)."
P2564,柯本气候分类,,Köppen climate classification,地区气候特性,,indicates the characteristic climate of a place
P1347,軍事傷員分類,,military casualty classification,,,"allowed values:  killed in action (Q210392), missing in action (Q2344557), died of wounds (Q16861372), prisoner of war (Q179637), killed in flight accident (Q16861407), others used in military casualty classification"
P2737,并集属于,,union of,本类的元素是至少一个所列类的元素,,"every instance of this class is an instance of at least one class in that list of classes. Use ""list item"" P11260 as qualifiers to specify the list of classes"
P2286,动脉供应,,arterial supply,,,arterial supply of an anatomical structure
P427,模式分类群,,taxonomic type,科（或亚科等）的模式属；属（或亚属等）的模式种,,name-bearing genus or species of this nominal family or genus (or subfamily or subgenus)
P8371,参考作品、传统或理论,,"references work, tradition or theory",本作品参考的其他作品、传统或理论,,"creative work, tradition or theory this creative work references by allusion, quote or similar means (for citations in scholarly and legal works use P2860, for other more specific properties have a look at ""see also"" on the property page)"
P543,宣誓者,,oath made by,在奧運會等活動中宣誓的人,,"person(s) that made the oath at an event, like the Olympic Games"
P7167,不導致,,does not have effect,此处不存在此类成员的预期效果或通常效果,,expected effect or usual effect of members of this class absent here
P20,死亡地,,place of death,人、动物或虚构人物最具体的已知（例如城市而不是国家，或医院而不是城市）死亡地点,,"most specific known (e.g. city instead of country, or hospital instead of city) death location of a person, animal or fictional character"
P9215,,,set during recurring event,,,"recurring event (e.g. season, month, holiday) during which this fictional work is set"
P423,,,shooting handedness,,,whether the hockey player passes or shoots left- or right-handed
P2505,承载,,carries,某座桥或某条隧道承载的项（道路、铁路等）,,"item (e.g. road, railway, canal) carried by a bridge, a tunnel or a mountain pass"
P831,附属俱乐部,,parent club,,,parent club of this team
P2975,宿主,,host,,,an organism harboring another organism or organisms on or in itself
P2512,有衍生作品,спин-офф,has spin-off,該項目的衍生作品,,works that are spin-offs of this item
P2033,依相机拍摄的照片分类,,category for pictures taken with equipment,使用該相機型號或型號系列拍攝的照片的共享資源分類,,Commons category for photos taken with that camera model or model line
P403,河流出口,,mouth of the watercourse,河流注入何处,,the body of water to which the watercourse drains
P279,上级分类,сынып тармағы,subclass of,比当前项目更高一级的类或类型； 这些项目的所有实例都是这些项目的实例； 该项目是该项目的一个类（子集）。 不要与 P31 (隶属于/instance of) 混淆,ос сыныптың (класс) әрбір данасы келесі сыныптардың данасы болып табылады. P31 («бірі болып табылады») шатыстыруға болмайды,"this item is a subclass (subset) of that item; all instances of this item are instances of that item; different from P31 (instance of), e.g.: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)"
P190,友好城市,,twinned administrative body,孪生城镇、姊妹城市、孪生直辖市和其他有伙伴关系或合作协议的地方，无论是法律上还是非正式上都得到政府承认,,"twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally acknowledged by their governments"
P136,類型,жанр,genre,作品的類型或藝術家的創作風格，作品的主題見P921,,creative work's genre or an artist's field of work (P101). Use main subject (P921) to relate creative works to their topic
P6153,研究地點,,research site,展開研究和實驗的地方,,place where this item was researched
P3096,KML檔案,,KML file,项目链接到维基页面包含一个相关的锁眼标记语言文件的文本,,item with sitelinks to wikimedia page containing text of a relevant KML file
P7779,軍事單位,,military unit,该人所属的的最小军事单位,,smallest military unit that a person is/was in
P4043,模拟,,emulates,模拟识别的平台，中央處理器或系统,,"emulates the identified platform, CPU, or system"
P1343,记载处,,described by source,有记载并描述此项的文献等出处,,work where this item is described
P910,话题主分类,негізгі тақырып санаты,topic's main category,主要的维基媒体分类,,main Wikimedia category
P35,国家元首,,head of state,在一个国家拥有最高官方权力的官员,,official with the highest formal authority in a country/state
P16,交通網路,,transport network,交通线路所屬的系統（或特定國家特定的道路類型）,,network the infrastructure is a part of
P11799,,,alternate universe counterpart,,,this fictional character/entity is an alternate universe counterpart of the subject
P4614,所属流域,,drainage basin,降水彙集並排入共同出口，如河流、海灣或其他水體的區域,,"area where precipitation collects and drains off into a common outlet, such as into a river, bay, or other body of water"
P5475,中日韓越異體字,,CJKV variant character,,,equivalent form of this CJKV character used in different regions or writing systems over time
P6477,不具备的特性,,does not have characteristic,该项目不具备的预期特性,,expected quality that the item does not possess
P6275,版權代表人,,copyright representative,有權代行該人或組織著作權之人或組織,,person or organisation who represents the copyright for this person or work of art
P113,航空枢纽,,airline hub,被航空公司視為樞紐的機場,,airport that serves as a hub for an airline
P50,作者,автор,author,书面作品的主要创作者（用于作品项目，而不是人类项目）；当维基数据项目未知或不存在时使用P2093（作者名字符串）,,"main creator(s) of a written work (use on works, not humans); use P2093 (author name string) when Wikidata item is unknown or does not exist"
P27,國籍,азаматтығы,country of citizenship,承認主體是其公民的客體國家,осы адамды өзінің азаматы ретінде танитын мемлекет,the object is a country that recognizes the subject as its citizen
P9072,从这个物种的组织内分离,,derived from organism type,不同于P703，该属性表示这个细胞株从某个物种的组织内分离而来，而细胞株只能从一个物种内分离,,the taxon that the organism from which the subject cell line was derived belonged to (different from found in taxon (P703) because cell lines are derived only once from a single individual)
P8453,車站,,public transport stop,邻近车站,,"general (e.g. nearest) public transport stop (bus, tram, train, subway)"
P3781,,,has active ingredient,,,"has part biologically active component; inverse of ""active ingredient in"" (P3780)"
P1366,後繼者,,replaced by,接替某人、某職稱或某事物的項目。如果此項目不是替代者，僅為接續者（例如：系列書籍），請使用P156。,,"other person or item which continues the item by replacing it in its role. Use P156 (""followed by"") if the item is not replaced nor identical, but adds to the series (e.g. books in a series)."
P1740,取景地分類,,category for films shot at this location,該對像是在主題處或主體中拍攝的電影的類別,,the object is a category for films shot at or in the subject
P5816,保存狀態,,state of conservation,,,"to indicate state of conservation of a building, monument, artifact, etc. It is not related with its heritage protection (P1435), but to its present state of conservation. Ex.: ruinous, demolished, correct, etc."
P1027,颁发者,,conferred by,頒發獎品或授予榮譽的人或組織,,"person or organization who grants an award, certification, grant, or role"
P612,母屋,,mother house,宗教學院的主要住所或社區,,principal house or community for a religious institute
P1056,产品,,product or material produced or service provided,一个地矿、工业设施或工业程序所生产的物质,,"material or product produced by an organization, industry, facility, or process"
P2679,序言作者,,author of foreword,撰寫該書序言，前言或介紹但不是本書其餘部分作者的人,,"person who wrote the preface, foreword, or introduction of the book but who isn't an author of the rest of the book"
P25,母亲,,mother,女性家长。继母使用P3448。,,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)"
P9241,该主题人口统计,,demographics of topic,,,item that deals with demographics of the subject
P769,,,significant drug interaction,,,"clinically significant interaction between two pharmacologically active substances (i.e., drugs and/or active metabolites) where concomitant intake can lead to altered effectiveness or adverse drug events."
P5025,,,gens,,,a clan or group of families from Ancient Rome who shared the same nomen
P3858,路線圖,,route diagram template,,,Wikimedia template with route diagram
P485,存檔于,,archives at,持有該主題檔案的機構,,the institution holding the subject's archives
P6819,書法家,,calligrapher,,,calligrapher of a work
P1536,直接结果,,immediate cause of,,,immediate effect of this cause
P1192,所屬路線,,connecting service,停靠某車站的路線服务,,service stopping at a station
P1840,,,investigated by,,,person or organization involved in investigation of the item
P6291,,,advertises,,,"cause, organization or product targeted by the advertising campaign, character, jingle or slogan"
P1046,发现方法,,discovery method,發現一顆系外行星的方式,,way an exoplanet was discovered
P59,星座,,constellation,主体所属的天球区域（从科学的角度，而不是占星学的角度）,,"the area of the celestial sphere of which the subject is a part (from a scientific standpoint, not an astrological one)"
P8026,,,LiverTox likelihood score,,,categorization of the likelihood that a medication is associated with drug induced liver injury that was developed by the Drug-Induced Liver Injury Network (DILIN) Network and published in NCBI's LiverTox
P1792,相关人物分类,,category of associated people,維基媒體類別適用於與此地點相關的人員,,Wikimedia category for people associated with this place or organization
P1456,古迹列表,,list of monuments,,,link to the list of heritage monuments in the place/area
P5522,Unicode区块,,Unicode block,字符所在的Unicode区块,,Unicode block that a character or code point is in
P2872,遊客中心,,visitor center,這個目的地的官方旅遊辦公室,,official tourist office of this destination
P1455,作品列表,,list of works,到一个人的作品的条目的链接,,link to the article with the works of a person; use P358 for discographies
P559,始终点,,terminus,線性要素末端的要素（如相交的道路，火車站等）,,"the feature (intersecting road, train station, etc.) at the end of a linear feature"
P197,相邻车站,,adjacent station,与该车站相邻的车站，共用同一条线路,,"the stations next to this station, sharing the same line(s)"
P1283,影片集锦,,filmography,,,"item for the list of films a person has contributed to. Don't use it to add film items. Instead, add actors as ""cast member"" (P161) on items for films, directors with ""director"" (P57)"
P4000,拥有果实类型,,has fruit type,,,"morphology of the fruit of this taxon, as defined in botany"
P194,立法机构,,legislative body,該地的立法機關,,"legislative body governing this entity; political institution with elected representatives, such as a parliament/legislature or council"
P11738,处理、缓解或管理途径,,"handled, mitigated, or managed by",用以解决、应对或管理某一难题的方法或途径,,approach or method that can be used to address an issue or problem
P1716,品牌,,brand,该项所属的商业品牌,,commercial brand associated with the item
P527,可分為,тұрады,has part(s),此主題的一部分，是所屬實體（P361）的逆屬性,,"part of this subject; inverse property of ""part of"" (P361). See also ""has parts of the class"" (P2670)."
P451,非婚伴侣,,unmarried partner,未婚或婚外伴侶。 對已婚夫婦使用“配偶”(P26)。,,"someone with whom the person is in a relationship without being married. Use ""spouse"" (P26) for married couples"
P3650,,,JMK film rating,,,rating of a film in the Austrian film rating system
P868,,,foods traditionally associated,,,foods usually during the ceremony or associated with a certain settlement
P1200,流域水體分類,,category for the water basin,此類別為包含河盆（地面水和地下水匯入河流，同時補給河流水源的區域）,,the Wikimedia category associated with the basin of a bodies of water
P103,母语,ана тілі,native language,一个人生来就会的语言,тұлғаның туылғаннан бері білетін тілі,language or languages a person has learned from early childhood
P6568,,,inscription mentions,,,item about a person or an object mentioned in the inscription's text. Use on Wikimedia Commons on media files
P8670,角色設計,,character designer,負責設計在漫畫、動畫、電子遊戲等作品裡登場人物模樣的人員,,"person in charge of developing the style and concept of a character in a video game, anime or other creative work"
P111,以此物理量测量,,measured physical quantity,以数字乘以单位表示的物理属性值,,value of a physical property expressed as number multiplied by a unit
P30,大洲,континент,continent,主体所属的大洲,бұл элемент орналасқан әлемнің бөлігі. Мемлекеттер үшін қолданылады,continent of which the subject is a part
P4805,化妝師,,make-up artist,,,person in charge of make-up
P5753,表意组字序列,,ideographic description sequence,能够造出一汉字的所有的偏旁,,method to describe composition of Han characters using ideographic description characters and character or stroke components
P185,博士生,,doctoral student,该人所指导的博士生,,doctoral student(s) of a professor
P2789,连接,,connects with,与另一同类项物理相连,,item with which the item is physically connected
P1325,外部资料源,,external data available at URL,可以在其中找到該項目的外部資料的URL,,URL where external data on this item can be found
P10476,标识,,identifies,,,this item uniquely and purposefully distinguishes instances of this class from each other
P1365,取代對象,,replaces,職位、政權、或其他屬性上被他者取代的某人、某國或某物。如果前項實體沒有被取代，請使用P155。,,"person, state or item replaced. Use ""structure replaces"" (P1398) for structures. Use ""follows"" (P155) if the previous item was not replaced or predecessor and successor are identical"
P2629,BBFC评级,,BBFC rating,,,"British media content rating (add BBFC reference with qualifier ""P2676"")"
P112,創辦者,,founded by,該機構、宗教、場所的創辦者或共同創辦者,,"founder or co-founder of this organization, religion, place or entity"
P1924,疫苗用於,,vaccine for,疫苗所針對的疾病,,disease that a vaccine is for
P1423,模板包含话题,,template has topic,对应模板或信息框的主要话题,,topic related to template
P2578,研究對象,,is the study of,该学科所研究的对象,,"the object that an academic field studies; distinct from field of work (P101), which is used for human, organization, etc."
P123,出版者,баспагер,publisher,负责出版书籍、期刊、印刷音乐、播客、游戏或软件的组织或个人,,"organization or person responsible for publishing books, periodicals, printed music, podcasts, games or software"
P972,目录,,catalog,用于项目的目录，或用作P528的修饰符——用于“目录编号”有效的目录,,"catalog for the item, or, as a qualifier of P528 – catalog for which the 'catalog code' is valid"
P483,录制地点,,recorded at studio or venue,,,studio or location where a musical composition/release was recorded
P3648,,,NatureServe conservation status,,,conservation status assigned by NatureServe
P3966,編程範型,,programming paradigm,編程語言分類的編程範型,,programming paradigm in which a programming language is classified
P7078,类型推断系统,,typing discipline,描述某一种程序语言推断某个实体的数据类型的方法,,"specifies the typing discipline implemented, used, or mandated in a programming language"
P7327,,,OFLC classification,,,rating in the media content rating system of New Zealand
P461,相對概念,,opposite of,与此项目相反的项目,,item that is in some way the opposite of this item
P1414,圖像化使用者介面工具箱或框架,,GUI toolkit or framework,程式用來顯示圖像化用戶介面的工具箱或框架,,framework or toolkit a program uses to display the graphical user interface
P5249,,,sports competition competed at,,,edition of sports competitions at which the club or team that played a season competed at. Use this to link items for team seasons to items for specific seasons of competitions.Sample: 2012–13 FC Barcelona season → 2012–13 UEFA Champions League
P22,父亲,,father,主体的男性家长。对于继父，使用“继父”（P3448）,,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)"
P398,子天体,,child astronomical body,,,minor body that belongs to the item
P1464,出生地分类,,category for people born here,在此地出生者的页面分类,,category item that groups people born in this place
P5053,,,fastest lap,,,person who does the fastest lap during a motorsport race
P1656,揭幕人,,unveiled by,揭幕雕像、雕塑、纪念碑、牌匾等的人,,"person who unveils a statue, sculpture, memorial or plaque, etc."
P802,學生,,student,该人的著名学生,,notable student(s) of the subject individual
P5138,賽季所屬俱樂部或團隊,,season of club or team,該賽季所屬的俱樂部或球隊,,club or team that played the season
P517,相互作用,,interaction,與粒子相互作用的四個基本力（強（Q11415），電磁（Q849919），弱（Q11418）和重力（Q11412））的子集,,"subset of the four fundamental forces (strong (Q11415), electromagnetic (Q849919), weak (Q11418), and gravitation (Q11412) with which a particle interacts"
P1429,寵物,,has pet,,,pet that a person owns
P376,所在天体,,located on astronomical body,,,single astronomical body on which features or places are situated
P812,高校专业,,academic major,就读于大学或高校时的专业,,major someone studied at college/university
P201,流出,,outflows,河流等流出水道名称。 如果蒸发或渗漏是显着的流出，则可以将它们包括在内。 有些术语可能不是地名，例如 蒸发,,"rivers and other outflows waterway names. If evaporation or seepage are notable outflows, they may be included. Some terms may not be place names, e.g. evaporation"
P655,译者,,translator,翻译作品的人,,agent who adapts any kind of written text from one language to another
P8546,錄製地點,,recording location,聲音、影像等攝錄的地點,,"location where a media item (sound, video, etc.) was recorded"
P8138,所在统计领土实体,,located in statistical territorial entity,,,statistical territorial entity in which a place is located or is part of. If a municipality or county is split into or part of several regions: add several values
P1537,是该对象的影响因素,,contributing factor of,,,"thing that is significantly influenced by this cause, but does not directly result from it.  See 'Help:Modeling causes' for examples and discussion."
P3818,KMRB电影评级,,KMRB film rating,,,rating of a film in the South Korean film/video rating system
P3729,下一级,,next lower rank,级别较低的下一级,,"lower rank or level in a ranked hierarchy like sport league, military ranks. If there are several possible, list each one and qualify with ""criterion used"" (P1013), avoid using ranks and date qualifiers. For sports leagues/taxa, use specific properties instead."
P1196,死亡方式,өлім түрі,manner of death,死亡的情况（自然死亡、事故、自杀、他杀、调查中、未知）。更直接的死亡原因（如心脏病、车祸）请使用P509（死因）,адам өліміне алып келген себепті белгілеу үшін қолданылады,"general circumstances of a person's death; e.g. natural causes, accident, suicide, homicide, etc.  Use 'cause of death' (P509) for the specific physiological mechanism, e.g. heart attack, trauma, pneumonia etc."
P5028,音效设计师,,sound designer,,,"person responsible for the sound on a stage, in a film or in a radio drama"
P86,作曲者,композитор,composer,创作音乐的人[作词者，使用“歌词作者”（P676）],,"person(s) who wrote the music [for lyricist, use ""lyrics by"" (P676)]"
P669,所在街道,,located on street,街道、道路或广场上的物品所在的位置。 要添加号码，请使用Property:P670“街道号码”作为限定符。 如果街道没有条目，请使用P6375。,,"street, road, or square, where the item is located. To add the number, use Property:P670 ""house number"" as qualifier. Use property P6375 ""street address"", if there is no item for the street"
P3931,著作權所有者,,copyright holder,作品著作權的實際擁有者，會因買賣等因素而變動，不一定為作者。,,person or organisation who holds the copyright of a work according to the Berne Convention
P2846,輪椅使用性,,disabled accessibility,描述了輪椅無障礙的位置或事件,,describes disabled accessibility of location or event
P534,,,streak color,,,color of a mineral or material when abraded
P3828,穿着,,wears,主體上佩戴的衣服或配件,,clothing or accessory worn on subject's body
P3300,音乐指挥,,musical conductor,,,"the person who directs a musical group, orchestra or chorus"
P286,主教练,,head coach,,,"on-field manager or head coach of a sports club (not to be confused with a general manager P505, which is not a coaching position) or person"
P425,专业领域,,field of this occupation,某职业的专业领域（参见P101）,,"field corresponding to this occupation or profession (use only for occupations/professions - for people use Property:P101, for companies use P452)"
P53,家族,,family,包括皇族和貴族,,"family, including dynasty and nobility houses. Not family name (use P734 for family name)."
P943,程序员,,programmer,"程序员或工作室,写的软件",,the programmer that wrote the piece of software
P2831,圖騰,,totem,,,in many indigenous cultures an individual or group has a particular totem (e.g. a type of animal)
P189,发现地点,,location of discovery,此项目被发现时所在地点,,where the item was located when discovered
P915,拍攝地點,,filming location,這個場景/電影拍攝的實際地點。關於設定，請使用“敘事發生地”（P840）,,"actual place where this scene/film was shot. For the setting, use ""narrative location"" (P840)"
P78,顶级域名,,top-level Internet domain,互联网域名系统顶级代码,,Internet domain name system top-level code
P747,版本,,has edition or translation,链接至此作品项的版本,,link to an edition of this item
P518,適用部分,,applies to part,声明有效的项目的部分、方面或形式,,"part, aspect, or form of the item to which the claim applies"
P6195,募款計劃,,funding scheme,,,is supported under the funding scheme
P1853,血型,қан тобы,blood type,,"адамның, не ағзаның қан тобы",blood type of the human or animal
P1026,學位論文,,academic thesis,博士學位論文或學位論文,,thesis or dissertation written for a degree
P7108,,,location of the point of view,,,"geographic location of point of view, may or may not be depicted"
P5109,擁有語法性,,has grammatical gender,一種語言的名詞類系統的特定形式。 使用限定符“聲明是主題”（P805）鏈接到語言特定項目（如果存在）,,"specific form of noun class system of a language. Use qualifier ""statement is subject of"" (P805) to link to language specific item if present"
P607,军事冲突,,conflict,,,"battles, wars or other military engagements in which the person or item participated"
P205,流域国,,basin country,有排水系统进出水体或与水体接壤的国家,,country that have drainage to/from or border the body of water
P449,首播平台,түпнұсқа таратушы,original broadcaster,广播电视节目的首播电台、电视台，不包括重播、转播或网络同步跟播,,network(s) or service(s) that originally broadcast a radio or television program
P8866,配備運算,,has operator,此代數結構上有定義的運算,,mathematical operator associated with this algebraic structure
P8786,,,dedicated heritage entity,,,heritage entity dedicated to or associated with the item's subject
P469,流经湖泊,,lake on watercourse,河流流经的湖泊或水库,,lake or reservoir through which the river or stream flows
P1547,依賴軟件,,depends on software,主題軟件取決於對象軟件,,subject software depends on object software
P65,天文发现地,,site of astronomical discovery,天体被发现的地点，如：天文台、卫星，等,,"the place where an astronomical object was discovered (observatory, satellite)"
P358,唱片目录,,discography,,,item for list pages with discography of artist or band
P1302,主要目的地,,primary destinations,,,major towns and cities that a road serves
P12081,,,‎WHO Aware Classification,,,antibiotic classification according to the World Health Organization
P1344,参与,қатысты,participant in,某活動或團體的參與者，是P710的相反,"бұл адам немесе ұйым қатысқан шара, P710 мен P1923 қарама-қайшы",event in which a person or organization was/is a participant; inverse of P710 or P1923
P1750,,,name day,,,"day of the year associated with a first/given name. A qualifier should be used to identify the calendar that is being used. Distinguish from ""feast day"" (P:P841)"
P664,主辦方,,organizer,組織事件的人或機構,,person or institution organizing an event
P1622,道路通行方向,,driving side,在特定司法管轄區內車輛行駛的道路的一側,,side of the road that vehicles drive on in a given jurisdiction
P8006,惯用脚,,footedness,,,dominant foot or preferred stance of this person
P3712,擁有目標,,has goal,期望的結果或產物,,desired result or outcome
P834,,,train depot,,,"depot which serves this railway line, not public stations"
P404,游戏模式,ойын режимі,game mode,电子游戏的娱乐玩法,,a video game's available playing mode(s)
P931,机场服务地区,,place served by transport hub,该机场服务的城市或地区,,"territorial entity or entities served by this transport hub (airport, train station, etc.)"
P7163,销售商品,,typically sells,,,type of goods particular type of shops typically sell
P119,葬于,,place of burial,人或动物的坟墓、安息地、撒灰地等（例如，城镇/城市或墓地）的位置。 可能有几个地方：例如，重新埋葬，分别埋葬身体的一部分。,,"location of grave, resting place, place of ash-scattering, etc. (e.g., town/city or cemetery) for a person or animal. There may be several places: e.g., re-burials, parts of body buried separately."
P1303,樂器,,instrument,此人物所演奏的樂器,,musical instrument that a person plays or teaches or used in a music occupation
P2738,不交并属于,,disjoint union of,,,"every instance of this class is an instance of exactly one class in that list of classes. Use ""list item"" P11260 as qualifiers to specify the list of classes"
P547,紀念對象,,commemorates,某地方、某建築、某節日之紀念對象,,"what the place, monument, memorial, or holiday, commemorates"
P524,灭绝地质年代,,temporal range end,,,the end of a process such as a geological unit or extinction of a life form relative to the geologic time scale
P7582,,,Wildlife Protection Act 1972 (India) schedule,,,classification of species found in India as per legal protection status under Wildlife Protection Act 1972
P971,分類結合話題,,category combines topics,這個分類結合了這兩個或更多的話題,,this category combines (intersects) these two or more topics
P4147,,,conjugate acid,,,species formed by accepting a proton (H⁺)
P264,唱片公司,,record label,与主体音乐录音和音乐视频营销相关的品牌和商标,,brand and trademark associated with the marketing of subject music recordings and music videos
P1754,列表相关分类,,category related to list,,,Wikimedia category that matches the Wikimedia list
P6587,聯賽系統,,league system,,,league system the league belongs to
P4149,共轭碱,,conjugate base,,,species formed by losing a proton (H⁺)
P800,主要作品,елеулі жұмыс,notable work,主要的科研或藝術等作品,"бүкіл жұмыстарының арасындағы ең елеулі, ең танымал, көрнекті жұмысы","notable scientific, artistic or literary work, or other work of significance among subject's works"
P8706,,,ritual object,,,"ceremonial or ritual objects associated with, and used as part of, rites and rituals practiced in everyday life and in rarer cultic and communal rites"
P2550,,,recording or performance of,,,item is a recording or release of this composition
P1412,通晓语言,"адамның сөйлеген, жазған тілдері","languages spoken, written or signed",一个人或民族用于在各种形式的表达（言语、书写、比划等）的语言，包含其母语,"адамның сөйлеген, не жазған тілі, не тілдері. Ана тілін қамтуы мүмкін","language(s) that a person or a people speaks, writes or signs, including the native language(s)"
P5135,大于,,greater than,,,"instances of the item have a greater value than corresponding instances of the object, for the given measure"
P3082,,,destroyed,,,physical items destroyed by this event
P740,成立地點,пайда болған орны,location of formation,組織成立的地點,топ немесе ұйым пайда болған мекен,location where a group or organization was formed
P1001,管辖区,,applies to jurisdiction,該項目（機構，法律，公職......）所屬、有權管轄或可適用的值（地域管轄區、國家、州、市等）,,"the item (institution, law, public office, public register...) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)"
P118,所属联盟,,league,体育队伍所属的联赛,,league in which team or player plays or has played in
P2849,,,produced by,,,links a class of biological features (such as a biochemical compound) with another class of biological entities known to produce it
P149,建築風格,,architectural style,建築物的外觀特色,,architectural style of a structure
P5136,,,less than,,,"instances of the item have a lesser value than corresponding instances of the object, for the given measure"
P2976,衍生父名或母名,,patronym or matronym for this name,源自此名稱的父名、母名或姓氏,,patronym or matronym based on this given name
P1028,捐贈者,,donated by,,,person or organization who donated the object
P3967,决赛,,final event,竞赛的最终决赛,,final event of a competition
P9047,是……的遺跡,,archaeological site of,該物體在這個遺跡被發現,,at this archeological site the object has been uncovered
P551,居住地,тұратын жері,residence,,"адамның өмір сүрген, не әлі де өмір сүріп жүрген жері","the place where the person is or has been, resident"
P2701,文件格式,,file format,文件格式、压缩类型或文件中使用的本体,,"file format, compression type, or ontology used in a file"
P1576,生活方式,,lifestyle,,,"typical way of life of an individual, group, or culture"
P140,信仰或世界觀,діні,religion or worldview,人或组织的宗教信仰（必须由该人或组织承认，或有历史文献依据）,тұлғаның немесе ұйымның діни көзқарасы,"religion of a person, organization or religious building, or associated with this subject"
P2175,用于治疗,,medical condition treated,,,"disease that this pharmaceutical drug, procedure, or therapy is used to treat"
P2962,棋士称号,,title of chess person,国际象棋联合会授予的称号,,title awarded by a chess federation to a person
P169,首席执行官,,chief executive officer,公司最高行政管理人员,,highest-ranking corporate officer appointed as the CEO within an organization
P1399,宣判罪名,,convicted of,此人犯下的罪行,,crime a person was convicted of
P726,候選人,,candidate,在本次选举中可以选择担任某职位的个人或政党,,person or party that is an option for an office in this election
P460,据称相同,бір нәрсе болуы ықтимал,said to be the same as,据说此项目与该项目相同，但可能存有不确定或争议,"бұл нәрсе осы көрсетілген екінші нәрсемен бір болуы ықтимал, бірақ бұл туралы басқа да пікірлер болуы мүмкін","this item is said to be the same as that item, though this may be uncertain or disputed"
P8001,推薦者,,endorsed by,表明支持、推薦主題人士、組織或計劃的人或組織,,public support given by a person or organization to a political or other campaign
P885,源头,,origin of the watercourse,河流的源头,,"main source of a river, stream or lake"
P88,委托人,,commissioned by,委托进行这项工作的个人或组织,,person or organization that commissioned this work
P3264,底數,,radix,進位制的底數,,number of distinct digits in a positional numeral system
P1322,對偶幾何圖形,,dual to,,,"dual of a polytope, graph or curve"
P470,旗籍,,Eight Banner register,八旗的旗籍,,Manchu household register for people of the Qing Dynasty
P837,节日日期,,day in year for periodic occurrence,當特定假日或定期事件發生時。可以用作屬性或限定符,,when a specific holiday or periodic event occurs. Can be used as property or qualifier
P2637,RARS评级,,RARS rating,,,rating in the Russian media content rating system
P1363,得分或進球者,,points/goal scored by,在比賽中得分或進球的某位人物,,person who scored a point or goal in a game
P553,开设账户网站,,website account on,该个人或组织拥有账户的网站（与P554一起使用）注意：只能使用可靠的来源或者个人或组织披露它的网站。,,website that the person or organization has an account on (use with P554) Note: only used with reliable source or if the person or organization disclosed it.
P162,制作人,продюсері,producer,電影或音樂作品的製作人（对于电影，这不包括执行制片人、副制片人等）[对于制作公司，使用 P272，视频游戏 - 使用 P178],,"person(s) who produced the film, musical work, theatrical production, etc. (for film, this does not include executive producers, associate producers, etc.) [for production company, use P272, video games - use P178]"
P912,擁有設施,,has facility,主題項具有這種類型的設施，例如 廁所，停車場,,"the subject item has this type of facility, e.g. toilet, car park"
P452,产业,,industry,一所机构的产业,,specific industry of company or organization
P1416,隶属组织,,affiliation,一个人或组织所附属的组织（未必是其成员或受雇于它）,,organization that a person or organization is affiliated with (not necessarily member of or employed by)
P1064,軌距,,track gauge,鐵路軌道兩條鋼軌之間的距離,,spacing of the rails on a railway track
P467,立法者,,legislated by,通过某项法律的立法机关,,indicates that an act or bill was passed by a legislature. The value can be a particular session of the legislature
P8032,受害人,,victim(s),违法犯罪或灾难事故中受到损害的一方,,person(s) who were harmed from an act or event
P1981,FSK電影評級,,FSK film rating,根據德國電影評級系統允許的電影觀眾（添加Prüfnummer與限定詞“P2676”）,,"permitted audience of a film, according to the German film-rating system (add Prüfnummer with qualifier ""P2676"")"
P7047,敌人,,enemy,,,opponent character or group of this fictive character or group
P3216,,,ClassInd rating,,,"rating of an audiovisual work, video game or RPG in the Brazilian Advisory Rating System (ClassInd)"
P1591,被告人,,defendant,被指控的人或組織被審判,,person or organization accused at a trial
P3833,,,diaspora,,,diaspora that a cultural group belongs to
P2396,值域,,image of function,,,set of values that a mathematical function actually takes
P3103,,,has tense,,,"grammatical category expressing time reference of the language. To include a sample, use qualifier ""quote"" (P1683), sample: ""He writes"". If an activity before is needed ""He sees"". If an activity afterwards is needed: ""He reads""."
P7867,地图分类,,category for maps,数据项的维基媒体地图分类,,name of the Wikimedia category specifically for maps or plans of this item
P141,IUCN保護現狀,,IUCN conservation status,根據國際自然保護聯盟瀕危物種紅色名錄所指定的保護狀況,,conservation status assigned by the International Union for Conservation of Nature
